Unnamed: 0,company_name,dc_date,dc_daily_count
9257,Basic Bank Limited,2023-04-08,1
9258,Basic Bank Limited,2023-04-10,1
9259,Basic Bank Limited,2023-04-12,1
9260,Basic Bank Limited,2023-04-15,1
9261,Basic Bank Limited,2023-04-19,2
9262,Basic Bank Limited,2023-04-21,1
9263,Basic Bank Limited,2023-04-24,1
9264,Basic Bank Limited,2023-04-25,1
9265,Basic Bank Limited,2023-04-29,1
9266,Basic Bank Limited,2023-05-03,1
9267,Basic Bank Limited,2023-05-05,1
9268,Basic Bank Limited,2023-05-07,2
9269,Basic Bank Limited,2023-05-08,2
9270,Basic Bank Limited,2023-05-10,1
9271,Basic Bank Limited,2023-05-14,1
9272,Basic Bank Limited,2023-05-16,1
9273,Basic Bank Limited,2023-05-29,1
9274,Basic Bank Limited,2023-05-30,3
9275,Basic Bank Limited,2023-06-01,3
9276,Basic Bank Limited,2023-06-06,1
9277,Basic Bank Limited,2023-06-10,1
9278,Basic Bank Limited,2023-06-11,2
9279,Basic Bank Limited,2023-06-12,11
9280,Basic Bank Limited,2023-06-18,20
9281,Basic Bank Limited,2023-06-24,1
9282,Basic Bank Limited,2023-06-26,6901
9283,Basic Bank Limited,2023-06-28,1
9284,Basic Bank Limited,2023-06-30,1
9285,Basic Bank Limited,2023-07-02,1
9286,Basic Bank Limited,2023-07-03,2
9287,Basic Bank Limited,2023-07-09,1
9288,Basic Bank Limited,2023-07-15,1
9289,Basic Bank Limited,2023-07-18,97
9290,Basic Bank Limited,2023-07-19,8315
9291,Basic Bank Limited,2023-07-20,9606
9292,Basic Bank Limited,2023-07-22,5110
9293,Basic Bank Limited,2023-07-23,9846
9294,Basic Bank Limited,2023-07-24,9133
9295,Basic Bank Limited,2023-07-25,9742
9296,Basic Bank Limited,2023-07-27,13125
9297,Basic Bank Limited,2023-07-28,1158
9298,Basic Bank Limited,2023-07-29,279
9299,Basic Bank Limited,2023-07-30,10905
9300,Basic Bank Limited,2023-07-31,13065
9301,Basic Bank Limited,2023-08-01,11495
9302,Basic Bank Limited,2023-08-02,12131
9303,Basic Bank Limited,2023-08-03,10513
9304,Basic Bank Limited,2023-08-04,661
9305,Basic Bank Limited,2023-08-05,693
9306,Basic Bank Limited,2023-08-06,12004
9307,Basic Bank Limited,2023-08-07,12543
9308,Basic Bank Limited,2023-08-08,9398
9309,Basic Bank Limited,2023-08-09,9493
9310,Basic Bank Limited,2023-08-10,10924
9311,Basic Bank Limited,2023-08-11,5854
9312,Basic Bank Limited,2023-08-12,884
9313,Basic Bank Limited,2023-08-13,6770
9314,Basic Bank Limited,2023-08-14,11190
9315,Basic Bank Limited,2023-08-15,1316
9316,Basic Bank Limited,2023-08-16,14197
9317,Basic Bank Limited,2023-08-17,10557
9318,Basic Bank Limited,2023-08-18,846
9319,Basic Bank Limited,2023-08-19,624
9320,Basic Bank Limited,2023-08-20,11570
9321,Basic Bank Limited,2023-08-21,14546
9322,Basic Bank Limited,2023-08-22,8005
9323,Basic Bank Limited,2023-08-23,5877
9324,Basic Bank Limited,2023-08-24,10571
9325,Basic Bank Limited,2023-08-25,1273
9326,Basic Bank Limited,2023-08-26,6116
9327,Basic Bank Limited,2023-08-28,13163
9328,Basic Bank Limited,2023-08-29,9022
9329,Basic Bank Limited,2023-08-30,10448
9330,Basic Bank Limited,2023-08-31,11048
